sample_id,seq_length,compare_count,move_count
1,3,3,2
2,3,3,1
3,3,3,3
4,3,3,3
5,3,3,1
6,3,3,0
7,3,3,2
8,3,3,2
9,3,3,1
10,3,3,2
11,4,6,3
12,4,6,5
13,4,6,4
14,4,6,3
15,4,6,0
16,4,6,1
17,4,6,1
18,4,6,3
19,4,6,2
20,4,6,2
21,5,10,9
22,5,10,4
23,5,10,7
24,5,10,5
25,5,10,2
26,5,10,9
27,5,10,3
28,5,10,5
29,5,10,3
30,5,10,3
31,6,15,9
32,6,15,6
33,6,15,8
34,6,15,7
35,6,15,7
36,6,15,7
37,6,15,7
38,6,15,3
39,6,15,13
40,6,15,7
41,7,21,9
42,7,21,14
43,7,21,15
44,7,21,6
45,7,21,10
46,7,21,8
47,7,21,15
48,7,21,6
49,7,21,14
50,7,21,8
51,8,28,15
52,8,28,16
53,8,28,14
54,8,28,19
55,8,28,15
56,8,28,18
57,8,28,19
58,8,28,9
59,8,28,13
60,8,28,14
61,9,36,13
62,9,36,15
63,9,36,14
64,9,36,15
65,9,36,27
66,9,36,21
67,9,36,12
68,9,36,19
69,9,36,23
70,9,36,20
71,10,45,16
72,10,45,26
73,10,45,23
74,10,45,14
75,10,45,27
76,10,45,15
77,10,45,18
78,10,45,14
79,10,45,16
80,10,45,39
81,11,55,23
82,11,55,26
83,11,55,23
84,11,55,26
85,11,55,18
86,11,55,19
87,11,55,17
88,11,55,17
89,11,55,15
90,11,55,13
91,12,66,25
92,12,66,36
93,12,66,31
94,12,66,31
95,12,66,37
96,12,66,36
97,12,66,36
98,12,66,39
99,12,66,28
100,12,66,33
101,13,78,41
102,13,78,39
103,13,78,26
104,13,78,49
105,13,78,32
106,13,78,37
107,13,78,45
108,13,78,34
109,13,78,34
110,13,78,23
111,14,91,53
112,14,91,40
113,14,91,34
114,14,91,41
115,14,91,55
116,14,91,37
117,14,91,39
118,14,91,58
119,14,91,35
120,14,91,54
121,15,105,65
122,15,105,54
123,15,105,48
124,15,105,45
125,15,105,34
126,15,105,55
127,15,105,56
128,15,105,61
129,15,105,46
130,15,105,65
131,16,120,45
132,16,120,38
133,16,120,69
134,16,120,66
135,16,120,44
136,16,120,74
137,16,120,72
138,16,120,44
139,16,120,62
140,16,120,74
141,17,136,70
142,17,136,70
143,17,136,62
144,17,136,60
145,17,136,70
146,17,136,78
147,17,136,60
148,17,136,58
149,17,136,61
150,17,136,61
151,18,153,66
152,18,153,71
153,18,153,74
154,18,153,62
155,18,153,89
156,18,153,73
157,18,153,85
158,18,153,97
159,18,153,96
160,18,153,82
161,19,171,104
162,19,171,88
163,19,171,88
164,19,171,78
165,19,171,98
166,19,171,107
167,19,171,87
168,19,171,85
169,19,171,78
170,19,171,92
171,20,190,119
172,20,190,96
173,20,190,57
174,20,190,76
175,20,190,86
176,20,190,83
177,20,190,67
178,20,190,94
179,20,190,83
180,20,190,96
181,21,210,117
182,21,210,142
183,21,210,127
184,21,210,63
185,21,210,113
186,21,210,114
187,21,210,108
188,21,210,89
189,21,210,126
190,21,210,121
191,22,231,131
192,22,231,131
193,22,231,125
194,22,231,162
195,22,231,111
196,22,231,119
197,22,231,110
198,22,231,83
199,22,231,131
200,22,231,146
201,23,253,97
202,23,253,159
203,23,253,120
204,23,253,138
205,23,253,131
206,23,253,104
207,23,253,145
208,23,253,97
209,23,253,125
210,23,253,133
211,24,276,145
212,24,276,142
213,24,276,143
214,24,276,140
215,24,276,140
216,24,276,159
217,24,276,145
218,24,276,185
219,24,276,150
220,24,276,158
221,25,300,165
222,25,300,112
223,25,300,161
224,25,300,137
225,25,300,172
226,25,300,170
227,25,300,155
228,25,300,154
229,25,300,118
230,25,300,141
231,26,325,151
232,26,325,168
233,26,325,176
234,26,325,146
235,26,325,177
236,26,325,144
237,26,325,146
238,26,325,151
239,26,325,181
240,26,325,216
241,27,351,197
242,27,351,168
243,27,351,146
244,27,351,169
245,27,351,174
246,27,351,156
247,27,351,205
248,27,351,189
249,27,351,181
250,27,351,195
251,28,378,209
252,28,378,143
253,28,378,151
254,28,378,176
255,28,378,156
256,28,378,182
257,28,378,219
258,28,378,213
259,28,378,225
260,28,378,191
261,29,406,138
262,29,406,207
263,29,406,162
264,29,406,174
265,29,406,229
266,29,406,240
267,29,406,188
268,29,406,225
269,29,406,209
270,29,406,235
271,30,435,222
272,30,435,223
273,30,435,224
274,30,435,218
275,30,435,205
276,30,435,237
277,30,435,221
278,30,435,207
279,30,435,202
280,30,435,152
281,31,465,197
282,31,465,230
283,31,465,215
284,31,465,224
285,31,465,240
286,31,465,215
287,31,465,237
288,31,465,256
289,31,465,258
290,31,465,238
291,32,496,296
292,32,496,245
293,32,496,329
294,32,496,264
295,32,496,218
296,32,496,219
297,32,496,271
298,32,496,197
299,32,496,233
300,32,496,259
301,33,528,272
302,33,528,282
303,33,528,273
304,33,528,302
305,33,528,230
306,33,528,251
307,33,528,183
308,33,528,284
309,33,528,304
310,33,528,310
311,34,561,265
312,34,561,220
313,34,561,254
314,34,561,271
315,34,561,236
316,34,561,262
317,34,561,358
318,34,561,250
319,34,561,326
320,34,561,300
321,35,595,249
322,35,595,324
323,35,595,285
324,35,595,317
325,35,595,225
326,35,595,336
327,35,595,302
328,35,595,247
329,35,595,278
330,35,595,317
331,36,630,285
332,36,630,278
333,36,630,287
334,36,630,294
335,36,630,227
336,36,630,327
337,36,630,251
338,36,630,273
339,36,630,255
340,36,630,297
341,37,666,366
342,37,666,360
343,37,666,309
344,37,666,347
345,37,666,366
346,37,666,288
347,37,666,283
348,37,666,338
349,37,666,353
350,37,666,250
351,38,703,292
352,38,703,317
353,38,703,335
354,38,703,324
355,38,703,349
356,38,703,374
357,38,703,377
358,38,703,321
359,38,703,377
360,38,703,293
361,39,741,402
362,39,741,383
363,39,741,424
364,39,741,414
365,39,741,368
366,39,741,352
367,39,741,447
368,39,741,377
369,39,741,450
370,39,741,322
371,40,780,399
372,40,780,373
373,40,780,377
374,40,780,371
375,40,780,370
376,40,780,327
377,40,780,415
378,40,780,449
379,40,780,347
380,40,780,352
