sample_id,seq_length,compare_count,move_count
1,3,2,3
2,3,2,3
3,3,4,4
4,3,2,3
5,3,5,4
6,3,4,4
7,3,4,4
8,3,2,3
9,3,4,4
10,3,2,3
11,4,2,4
12,4,6,6
13,4,7,6
14,4,6,6
15,4,9,7
16,4,5,5
17,4,6,6
18,4,6,6
19,4,4,5
20,4,7,6
21,5,12,9
22,5,11,9
23,5,6,7
24,5,6,7
25,5,10,9
26,5,8,8
27,5,9,8
28,5,12,9
29,5,6,7
30,5,9,8
31,6,14,11
32,6,8,9
33,6,13,11
34,6,8,9
35,6,13,11
36,6,16,12
37,6,11,10
38,6,12,10
39,6,15,11
40,6,14,11
41,7,14,12
42,7,12,11
43,7,14,12
44,7,14,12
45,7,16,13
46,7,16,13
47,7,17,13
48,7,16,12
49,7,20,14
50,7,15,13
51,8,20,16
52,8,21,16
53,8,25,17
54,8,18,15
55,8,24,17
56,8,18,14
57,8,19,15
58,8,16,14
59,8,19,15
60,8,18,15
61,9,24,18
62,9,26,19
63,9,24,18
64,9,24,18
65,9,25,19
66,9,24,18
67,9,19,17
68,9,20,17
69,9,20,17
70,9,25,19
71,10,24,20
72,10,22,19
73,10,24,20
74,10,28,21
75,10,30,22
76,10,24,19
77,10,25,20
78,10,28,22
79,10,27,21
80,10,30,22
81,11,27,21
82,11,28,23
83,11,27,22
84,11,30,23
85,11,28,23
86,11,32,24
87,11,30,23
88,11,27,22
89,11,26,22
90,11,27,22
91,12,30,24
92,12,28,23
93,12,35,27
94,12,34,25
95,12,32,25
96,12,32,25
97,12,35,26
98,12,34,26
99,12,33,25
100,12,31,24
101,13,36,28
102,13,39,29
103,13,29,25
104,13,31,26
105,13,40,29
106,13,36,27
107,13,35,27
108,13,36,27
109,13,32,26
110,13,36,28
111,14,41,30
112,14,38,29
113,14,46,32
114,14,40,29
115,14,41,31
116,14,34,28
117,14,41,30
118,14,35,28
119,14,38,30
120,14,42,30
121,15,39,30
122,15,42,31
123,15,42,32
124,15,42,33
125,15,46,34
126,15,44,32
127,15,41,31
128,15,36,30
129,15,38,30
130,15,44,33
131,16,47,35
132,16,49,36
133,16,45,35
134,16,42,32
135,16,45,34
136,16,40,32
137,16,44,34
138,16,43,34
139,16,45,34
140,16,49,35
141,17,51,37
142,17,51,38
143,17,49,37
144,17,46,35
145,17,44,36
146,17,49,36
147,17,42,34
148,17,47,36
149,17,48,36
150,17,54,38
151,18,49,38
152,18,56,40
153,18,52,40
154,18,53,40
155,18,56,41
156,18,49,39
157,18,52,39
158,18,59,42
159,18,48,37
160,18,49,38
161,19,52,40
162,19,49,39
163,19,58,42
164,19,54,41
165,19,56,41
166,19,55,41
167,19,55,41
168,19,57,41
169,19,56,41
170,19,56,41
171,20,58,45
172,20,55,43
173,20,59,44
174,20,55,42
175,20,53,42
176,20,61,45
177,20,55,43
178,20,58,44
179,20,58,45
180,20,51,41
181,21,58,46
182,21,66,48
183,21,68,48
184,21,64,49
185,21,60,45
186,21,66,48
187,21,61,46
188,21,64,47
189,21,66,48
190,21,56,45
191,22,70,50
192,22,64,49
193,22,66,50
194,22,57,45
195,22,63,48
196,22,72,51
197,22,59,48
198,22,60,47
199,22,66,49
200,22,64,48
201,23,70,52
202,23,68,51
203,23,63,49
204,23,65,50
205,23,66,50
206,23,69,51
207,23,72,52
208,23,67,51
209,23,71,51
210,23,71,52
211,24,67,52
212,24,66,51
213,24,69,51
214,24,69,53
215,24,75,54
216,24,71,53
217,24,68,53
218,24,63,50
219,24,70,53
220,24,75,55
221,25,69,54
222,25,77,58
223,25,78,57
224,25,76,56
225,25,75,56
226,25,80,57
227,25,76,56
228,25,68,54
229,25,65,51
230,25,73,55
231,26,71,55
232,26,76,57
233,26,74,56
234,26,81,58
235,26,71,56
236,26,80,58
237,26,68,54
238,26,86,61
239,26,70,56
240,26,78,58
241,27,86,61
242,27,80,60
243,27,78,59
244,27,80,60
245,27,82,61
246,27,79,61
247,27,85,62
248,27,83,62
249,27,82,62
250,27,78,60
251,28,88,64
252,28,84,63
253,28,85,62
254,28,90,65
255,28,88,64
256,28,85,64
257,28,86,63
258,28,82,62
259,28,87,63
260,28,82,61
261,29,80,62
262,29,93,66
263,29,78,62
264,29,91,66
265,29,87,65
266,29,91,66
267,29,90,65
268,29,94,67
269,29,84,64
270,29,88,65
271,30,89,68
272,30,95,68
273,30,88,65
274,30,88,66
275,30,96,71
276,30,91,67
277,30,93,66
278,30,88,66
279,30,97,71
280,30,98,70
281,31,99,72
282,31,90,68
283,31,95,70
284,31,85,66
285,31,86,66
286,31,94,70
287,31,94,70
288,31,94,69
289,31,91,69
290,31,96,70
291,32,103,74
292,32,94,70
293,32,98,72
294,32,97,74
295,32,88,68
296,32,98,73
297,32,103,74
298,32,111,77
299,32,102,74
300,32,96,73
301,33,100,74
302,33,103,76
303,33,93,72
304,33,104,75
305,33,94,73
306,33,96,74
307,33,111,77
308,33,90,72
309,33,97,73
310,33,102,76
311,34,100,74
312,34,100,75
313,34,110,79
314,34,97,74
315,34,102,75
316,34,111,80
317,34,105,77
318,34,110,81
319,34,107,78
320,34,105,77
321,35,116,82
322,35,105,78
323,35,110,81
324,35,109,80
325,35,110,81
326,35,102,78
327,35,113,81
328,35,112,81
329,35,111,80
330,35,104,77
331,36,104,79
332,36,113,83
333,36,111,81
334,36,112,83
335,36,110,82
336,36,116,84
337,36,110,83
338,36,107,80
339,36,107,81
340,36,107,81
341,37,117,86
342,37,117,86
343,37,113,84
344,37,118,85
345,37,108,83
346,37,108,83
347,37,111,84
348,37,119,86
349,37,114,84
350,37,121,87
351,38,120,88
352,38,117,86
353,38,114,87
354,38,106,82
355,38,113,85
356,38,122,89
357,38,113,84
358,38,120,88
359,38,127,91
360,38,108,84
361,39,117,88
362,39,116,87
363,39,118,88
364,39,121,90
365,39,114,87
366,39,122,91
367,39,124,90
368,39,120,88
369,39,122,88
370,39,119,89
371,40,119,91
372,40,121,91
373,40,132,94
374,40,115,89
375,40,127,92
376,40,120,91
377,40,127,93
378,40,133,95
379,40,119,90
380,40,129,93
