sample_id,seq_length,compare_count,move_count
1,3,3,1
2,3,3,2
3,3,3,2
4,3,3,1
5,3,3,3
6,3,3,2
7,3,3,2
8,3,3,3
9,3,3,0
10,3,3,1
11,4,6,4
12,4,6,2
13,4,6,4
14,4,6,1
15,4,6,6
16,4,6,5
17,4,6,2
18,4,6,3
19,4,6,5
20,4,6,3
21,5,10,5
22,5,10,2
23,5,10,3
24,5,10,7
25,5,10,6
26,5,10,3
27,5,10,6
28,5,10,4
29,5,10,7
30,5,10,7
31,6,15,5
32,6,15,11
33,6,15,11
34,6,15,5
35,6,15,5
36,6,15,7
37,6,15,8
38,6,15,3
39,6,15,5
40,6,15,10
41,7,21,8
42,7,21,13
43,7,21,10
44,7,21,11
45,7,21,11
46,7,21,12
47,7,21,1
48,7,21,9
49,7,21,14
50,7,21,12
51,8,28,14
52,8,28,13
53,8,28,14
54,8,28,6
55,8,28,11
56,8,28,20
57,8,28,16
58,8,28,14
59,8,28,7
60,8,28,11
61,9,36,25
62,9,36,8
63,9,36,20
64,9,36,11
65,9,36,11
66,9,36,17
67,9,36,15
68,9,36,15
69,9,36,8
70,9,36,23
71,10,45,19
72,10,45,25
73,10,45,31
74,10,45,28
75,10,45,30
76,10,45,29
77,10,45,15
78,10,45,26
79,10,45,31
80,10,45,30
81,11,55,27
82,11,55,10
83,11,55,28
84,11,55,27
85,11,55,26
86,11,55,28
87,11,55,21
88,11,55,37
89,11,55,20
90,11,55,27
91,12,66,36
92,12,66,25
93,12,66,41
94,12,66,33
95,12,66,44
96,12,66,35
97,12,66,24
98,12,66,26
99,12,66,26
100,12,66,28
101,13,78,48
102,13,78,53
103,13,78,34
104,13,78,50
105,13,78,35
106,13,78,39
107,13,78,41
108,13,78,39
109,13,78,51
110,13,78,42
111,14,91,37
112,14,91,37
113,14,91,42
114,14,91,70
115,14,91,42
116,14,91,39
117,14,91,56
118,14,91,46
119,14,91,39
120,14,91,28
121,15,105,49
122,15,105,55
123,15,105,43
124,15,105,58
125,15,105,38
126,15,105,37
127,15,105,45
128,15,105,64
129,15,105,61
130,15,105,59
131,16,120,58
132,16,120,92
133,16,120,55
134,16,120,53
135,16,120,46
136,16,120,47
137,16,120,58
138,16,120,69
139,16,120,66
140,16,120,75
141,17,136,75
142,17,136,94
143,17,136,79
144,17,136,61
145,17,136,56
146,17,136,61
147,17,136,48
148,17,136,69
149,17,136,65
150,17,136,73
151,18,153,69
152,18,153,79
153,18,153,80
154,18,153,73
155,18,153,96
156,18,153,43
157,18,153,73
158,18,153,61
159,18,153,65
160,18,153,65
161,19,171,84
162,19,171,89
163,19,171,76
164,19,171,92
165,19,171,79
166,19,171,40
167,19,171,70
168,19,171,92
169,19,171,73
170,19,171,90
171,20,190,88
172,20,190,81
173,20,190,65
174,20,190,80
175,20,190,72
176,20,190,94
177,20,190,97
178,20,190,76
179,20,190,88
180,20,190,81
181,21,210,99
182,21,210,129
183,21,210,104
184,21,210,96
185,21,210,86
186,21,210,102
187,21,210,96
188,21,210,97
189,21,210,90
190,21,210,86
191,22,231,104
192,22,231,107
193,22,231,123
194,22,231,105
195,22,231,130
196,22,231,94
197,22,231,121
198,22,231,129
199,22,231,99
200,22,231,83
201,23,253,120
202,23,253,105
203,23,253,127
204,23,253,113
205,23,253,121
206,23,253,152
207,23,253,145
208,23,253,104
209,23,253,111
210,23,253,141
211,24,276,147
212,24,276,136
213,24,276,151
214,24,276,121
215,24,276,140
216,24,276,161
217,24,276,122
218,24,276,155
219,24,276,148
220,24,276,140
221,25,300,162
222,25,300,140
223,25,300,185
224,25,300,172
225,25,300,155
226,25,300,147
227,25,300,142
228,25,300,149
229,25,300,115
230,25,300,156
231,26,325,162
232,26,325,166
233,26,325,171
234,26,325,185
235,26,325,165
236,26,325,201
237,26,325,159
238,26,325,172
239,26,325,135
240,26,325,155
241,27,351,181
242,27,351,158
243,27,351,200
244,27,351,243
245,27,351,210
246,27,351,187
247,27,351,146
248,27,351,166
249,27,351,142
250,27,351,178
251,28,378,199
252,28,378,193
253,28,378,209
254,28,378,170
255,28,378,184
256,28,378,204
257,28,378,168
258,28,378,200
259,28,378,219
260,28,378,157
261,29,406,203
262,29,406,186
263,29,406,187
264,29,406,212
265,29,406,178
266,29,406,200
267,29,406,254
268,29,406,191
269,29,406,205
270,29,406,211
271,30,435,201
272,30,435,211
273,30,435,219
274,30,435,238
275,30,435,279
276,30,435,191
277,30,435,255
278,30,435,210
279,30,435,280
280,30,435,183
281,31,465,230
282,31,465,181
283,31,465,225
284,31,465,205
285,31,465,215
286,31,465,213
287,31,465,209
288,31,465,214
289,31,465,267
290,31,465,244
291,32,496,267
292,32,496,258
293,32,496,212
294,32,496,238
295,32,496,267
296,32,496,242
297,32,496,290
298,32,496,216
299,32,496,214
300,32,496,264
301,33,528,256
302,33,528,224
303,33,528,220
304,33,528,352
305,33,528,326
306,33,528,295
307,33,528,300
308,33,528,245
309,33,528,282
310,33,528,265
311,34,561,239
312,34,561,355
313,34,561,287
314,34,561,310
315,34,561,264
316,34,561,296
317,34,561,232
318,34,561,229
319,34,561,258
320,34,561,255
321,35,595,291
322,35,595,301
323,35,595,365
324,35,595,315
325,35,595,249
326,35,595,325
327,35,595,236
328,35,595,357
329,35,595,263
330,35,595,287
331,36,630,276
332,36,630,260
333,36,630,334
334,36,630,346
335,36,630,291
336,36,630,331
337,36,630,262
338,36,630,245
339,36,630,274
340,36,630,320
341,37,666,268
342,37,666,359
343,37,666,276
344,37,666,329
345,37,666,322
346,37,666,340
347,37,666,298
348,37,666,317
349,37,666,327
350,37,666,302
351,38,703,317
352,38,703,293
353,38,703,343
354,38,703,385
355,38,703,342
356,38,703,367
357,38,703,320
358,38,703,292
359,38,703,390
360,38,703,376
361,39,741,352
362,39,741,401
363,39,741,325
364,39,741,292
365,39,741,412
366,39,741,340
367,39,741,346
368,39,741,332
369,39,741,350
370,39,741,409
371,40,780,381
372,40,780,378
373,40,780,421
374,40,780,394
375,40,780,348
376,40,780,380
377,40,780,449
378,40,780,467
379,40,780,401
380,40,780,387
