sample_id,seq_length,compare_count,move_count
1,3,3,3
2,3,2,2
3,3,3,1
4,3,3,5
5,3,3,1
6,3,2,2
7,3,3,1
8,3,2,2
9,3,3,1
10,3,3,5
11,4,4,4
12,4,5,1
13,4,5,5
14,4,4,3
15,4,5,1
16,4,4,5
17,4,5,7
18,4,5,1
19,4,5,5
20,4,4,0
21,5,7,6
22,5,8,7
23,5,8,7
24,5,7,6
25,5,7,4
26,5,8,5
27,5,8,7
28,5,7,6
29,5,8,9
30,5,8,5
31,6,10,7
32,6,10,5
33,6,10,5
34,6,11,8
35,6,9,4
36,6,9,9
37,6,9,4
38,6,10,12
39,6,8,3
40,6,9,10
41,7,13,8
42,7,13,8
43,7,13,8
44,7,14,15
45,7,13,6
46,7,13,8
47,7,13,9
48,7,10,3
49,7,11,7
50,7,14,11
51,8,16,8
52,8,16,8
53,8,16,6
54,8,16,14
55,8,16,15
56,8,17,7
57,8,16,15
58,8,16,13
59,8,15,9
60,8,16,9
61,9,19,19
62,9,19,15
63,9,16,10
64,9,20,11
65,9,20,11
66,9,20,15
67,9,18,15
68,9,20,16
69,9,17,16
70,9,21,14
71,10,23,14
72,10,24,20
73,10,24,15
74,10,24,18
75,10,20,14
76,10,23,17
77,10,22,26
78,10,23,12
79,10,24,20
80,10,23,18
81,11,28,22
82,11,28,23
83,11,26,23
84,11,25,18
85,11,26,13
86,11,29,20
87,11,25,17
88,11,27,25
89,11,27,21
90,11,29,20
91,12,29,13
92,12,30,19
93,12,31,23
94,12,27,16
95,12,30,20
96,12,30,14
97,12,29,21
98,12,30,22
99,12,29,17
100,12,29,21
101,13,32,24
102,13,31,9
103,13,34,16
104,13,34,20
105,13,32,25
106,13,34,24
107,13,29,21
108,13,34,23
109,13,36,30
110,13,36,28
111,14,38,28
112,14,38,25
113,14,37,26
114,14,36,26
115,14,35,26
116,14,39,26
117,14,35,21
118,14,36,31
119,14,36,15
120,14,40,23
121,15,41,17
122,15,42,31
123,15,43,30
124,15,43,35
125,15,41,32
126,15,42,35
127,15,42,34
128,15,41,25
129,15,44,29
130,15,37,11
131,16,48,32
132,16,46,28
133,16,45,38
134,16,47,32
135,16,45,25
136,16,46,28
137,16,43,21
138,16,48,37
139,16,44,29
140,16,41,22
141,17,50,36
142,17,51,40
143,17,51,28
144,17,49,37
145,17,49,27
146,17,50,36
147,17,49,33
148,17,52,30
149,17,50,36
150,17,48,42
151,18,56,36
152,18,54,32
153,18,57,39
154,18,56,46
155,18,51,29
156,18,55,36
157,18,52,38
158,18,54,42
159,18,57,42
160,18,49,28
161,19,61,44
162,19,58,37
163,19,58,34
164,19,61,40
165,19,62,37
166,19,58,33
167,19,55,30
168,19,61,43
169,19,61,46
170,19,58,40
171,20,65,31
172,20,64,43
173,20,57,36
174,20,64,43
175,20,65,56
176,20,61,43
177,20,62,39
178,20,61,50
179,20,67,46
180,20,62,44
181,21,65,37
182,21,68,50
183,21,65,45
184,21,69,45
185,21,63,48
186,21,72,49
187,21,69,47
188,21,68,57
189,21,68,39
190,21,71,49
191,22,73,54
192,22,74,47
193,22,76,59
194,22,76,57
195,22,74,51
196,22,71,52
197,22,71,49
198,22,74,53
199,22,75,43
200,22,73,45
201,23,79,54
202,23,77,49
203,23,76,57
