sample_id,seq_length,compare_count,move_count
1,3,3,2
2,3,3,2
3,3,3,2
4,3,3,2
5,3,3,2
6,3,3,2
7,3,3,2
8,3,3,2
9,3,3,2
10,3,3,2
11,4,6,3
12,4,6,3
13,4,6,3
14,4,6,3
15,4,6,3
16,4,6,3
17,4,6,3
18,4,6,3
19,4,6,3
20,4,6,3
21,5,10,4
22,5,10,4
23,5,10,4
24,5,10,4
25,5,10,4
26,5,10,4
27,5,10,4
28,5,10,4
29,5,10,4
30,5,10,4
31,6,15,5
32,6,15,5
33,6,15,5
34,6,15,5
35,6,15,5
36,6,15,5
37,6,15,5
38,6,15,5
39,6,15,5
40,6,15,5
41,7,21,6
42,7,21,6
43,7,21,6
44,7,21,6
45,7,21,6
46,7,21,6
47,7,21,6
48,7,21,6
49,7,21,6
50,7,21,6
51,8,28,7
52,8,28,7
53,8,28,7
54,8,28,7
55,8,28,7
56,8,28,7
57,8,28,7
58,8,28,7
59,8,28,7
60,8,28,7
61,9,36,8
62,9,36,8
63,9,36,8
64,9,36,8
65,9,36,8
66,9,36,8
67,9,36,8
68,9,36,8
69,9,36,8
70,9,36,8
71,10,45,9
72,10,45,9
73,10,45,9
74,10,45,9
75,10,45,9
76,10,45,9
77,10,45,9
78,10,45,9
79,10,45,9
80,10,45,9
81,11,55,10
82,11,55,10
83,11,55,10
84,11,55,10
85,11,55,10
86,11,55,10
87,11,55,10
88,11,55,10
89,11,55,10
90,11,55,10
91,12,66,11
92,12,66,11
93,12,66,11
94,12,66,11
95,12,66,11
96,12,66,11
97,12,66,11
98,12,66,11
99,12,66,11
100,12,66,11
101,13,78,12
102,13,78,12
103,13,78,12
104,13,78,12
105,13,78,12
106,13,78,12
107,13,78,12
108,13,78,12
109,13,78,12
110,13,78,12
111,14,91,13
112,14,91,13
113,14,91,13
114,14,91,13
115,14,91,13
116,14,91,13
117,14,91,13
118,14,91,13
119,14,91,13
120,14,91,13
121,15,105,14
122,15,105,14
123,15,105,14
124,15,105,14
125,15,105,14
126,15,105,14
127,15,105,14
128,15,105,14
129,15,105,14
130,15,105,14
131,16,120,15
132,16,120,15
133,16,120,15
134,16,120,15
135,16,120,15
136,16,120,15
137,16,120,15
138,16,120,15
139,16,120,15
140,16,120,15
141,17,136,16
142,17,136,16
143,17,136,16
144,17,136,16
145,17,136,16
146,17,136,16
147,17,136,16
148,17,136,16
149,17,136,16
150,17,136,16
151,18,153,17
152,18,153,17
153,18,153,17
154,18,153,17
155,18,153,17
156,18,153,17
157,18,153,17
158,18,153,17
159,18,153,17
160,18,153,17
161,19,171,18
162,19,171,18
163,19,171,18
164,19,171,18
165,19,171,18
166,19,171,18
167,19,171,18
168,19,171,18
169,19,171,18
170,19,171,18
171,20,190,19
172,20,190,19
173,20,190,19
174,20,190,19
175,20,190,19
176,20,190,19
177,20,190,19
178,20,190,19
179,20,190,19
180,20,190,19
181,21,210,20
182,21,210,20
183,21,210,20
184,21,210,20
185,21,210,20
186,21,210,20
187,21,210,20
188,21,210,20
189,21,210,20
190,21,210,20
191,22,231,21
192,22,231,21
193,22,231,21
194,22,231,21
195,22,231,21
196,22,231,21
197,22,231,21
198,22,231,21
199,22,231,21
200,22,231,21
201,23,253,22
202,23,253,22
203,23,253,22
204,23,253,22
205,23,253,22
206,23,253,22
207,23,253,22
208,23,253,22
209,23,253,22
210,23,253,22
211,24,276,23
212,24,276,23
213,24,276,23
214,24,276,23
215,24,276,23
216,24,276,23
217,24,276,23
218,24,276,23
219,24,276,23
220,24,276,23
221,25,300,24
222,25,300,24
223,25,300,24
224,25,300,24
225,25,300,24
226,25,300,24
227,25,300,24
228,25,300,24
229,25,300,24
230,25,300,24
231,26,325,25
232,26,325,25
233,26,325,25
234,26,325,25
235,26,325,25
236,26,325,25
237,26,325,25
238,26,325,25
239,26,325,25
240,26,325,25
241,27,351,26
242,27,351,26
243,27,351,26
244,27,351,26
245,27,351,26
246,27,351,26
247,27,351,26
248,27,351,26
249,27,351,26
250,27,351,26
251,28,378,27
252,28,378,27
253,28,378,27
254,28,378,27
255,28,378,27
256,28,378,27
257,28,378,27
258,28,378,27
259,28,378,27
260,28,378,27
261,29,406,28
262,29,406,28
263,29,406,28
264,29,406,28
265,29,406,28
266,29,406,28
267,29,406,28
268,29,406,28
269,29,406,28
270,29,406,28
271,30,435,29
272,30,435,29
273,30,435,29
274,30,435,29
275,30,435,29
276,30,435,29
277,30,435,29
278,30,435,29
279,30,435,29
280,30,435,29
281,31,465,30
282,31,465,30
283,31,465,30
284,31,465,30
285,31,465,30
286,31,465,30
287,31,465,30
288,31,465,30
289,31,465,30
290,31,465,30
291,32,496,31
292,32,496,31
293,32,496,31
294,32,496,31
295,32,496,31
296,32,496,31
297,32,496,31
298,32,496,31
299,32,496,31
300,32,496,31
301,33,528,32
302,33,528,32
303,33,528,32
304,33,528,32
305,33,528,32
306,33,528,32
307,33,528,32
308,33,528,32
309,33,528,32
310,33,528,32
311,34,561,33
312,34,561,33
313,34,561,33
314,34,561,33
315,34,561,33
316,34,561,33
317,34,561,33
318,34,561,33
319,34,561,33
320,34,561,33
321,35,595,34
322,35,595,34
323,35,595,34
324,35,595,34
325,35,595,34
326,35,595,34
327,35,595,34
328,35,595,34
329,35,595,34
330,35,595,34
331,36,630,35
332,36,630,35
333,36,630,35
334,36,630,35
335,36,630,35
336,36,630,35
337,36,630,35
338,36,630,35
339,36,630,35
340,36,630,35
341,37,666,36
342,37,666,36
343,37,666,36
344,37,666,36
345,37,666,36
346,37,666,36
347,37,666,36
348,37,666,36
349,37,666,36
350,37,666,36
351,38,703,37
352,38,703,37
353,38,703,37
354,38,703,37
355,38,703,37
356,38,703,37
357,38,703,37
358,38,703,37
359,38,703,37
360,38,703,37
361,39,741,38
362,39,741,38
363,39,741,38
364,39,741,38
365,39,741,38
366,39,741,38
367,39,741,38
368,39,741,38
369,39,741,38
370,39,741,38
371,40,780,39
372,40,780,39
373,40,780,39
374,40,780,39
375,40,780,39
376,40,780,39
377,40,780,39
378,40,780,39
379,40,780,39
380,40,780,39
